id,reviewer,decision,corrected_kreol_morisien,review_notes,reviewed_at
Act now or lose your account.,Joshua,EDIT,Azir aster sinon to pou perdi to kont.,,2026-09-22T12:36:50+00:00
Bank account,Joshua,APPROVE,,,2026-09-22T12:33:33+00:00
Bank impersonation,Joshua,EDIT,Fer koumadir li labank,,2026-09-22T12:36:18+00:00
Block the sender.,Joshua,EDIT,Bloke dimoun la.,,2026-09-22T12:37:13+00:00
Claim your prize now.,Joshua,EDIT,Reklam to prix deswit.,,2026-09-22T12:37:03+00:00
Click this link.,Joshua,EDIT,Klik lor sa lyen-la.,,2026-09-22T12:36:34+00:00
Confirm your identity.,Joshua,EDIT,Konfirm ou lidantite.,,2026-09-22T12:34:16+00:00
Do not click unknown links.,Joshua,EDIT,Pa klik lor bann lyen ki to pa kone.,,2026-09-22T12:36:40+00:00
Do not share your PIN with anyone.,Joshua,EDIT,Pa partaz ou PIN ar personn.,,2026-09-22T12:34:34+00:00
Enter your PIN.,Joshua,EDIT,Mette ou PIN.,,2026-09-22T12:34:29+00:00
Fake link,Joshua,EDIT,,,2026-09-22T12:36:28+00:00
Fraud,Joshua,EDIT,Fraud,,2026-09-22T12:36:11+00:00
Mobile money fraud,Joshua,EDIT,Fraud mobile money,,2026-09-22T12:37:22+00:00
Official channel,Joshua,EDIT,channel ofisyel,,2026-09-22T12:35:31+00:00
One-time password,Joshua,EDIT,,,2026-09-22T12:34:38+00:00
Password,Joshua,EDIT,,,2026-09-22T12:34:41+00:00
Report to your bank.,Joshua,EDIT,fer enn rapport ar labank,,2026-09-22T12:35:13+00:00
Send money now.,Joshua,EDIT,Avoy larzan aster la.,,2026-09-22T12:34:56+00:00
Suspicious message,Joshua,EDIT,Mesaz sispe,,2026-09-22T12:36:05+00:00
This is a scam.,Joshua,EDIT,Sa enn larnak.,,2026-09-22T12:35:59+00:00
Transfer money,Joshua,EDIT,Transfer kass,,2026-09-22T12:34:47+00:00
Urgent,Joshua,EDIT,,,2026-09-22T12:36:42+00:00
Verify through the official channel before acting.,Joshua,EDIT,Verifye lor channel ofisyel avan azir.,,2026-09-22T12:35:49+00:00
Verify your account.,Joshua,EDIT,Verifye ou kont.,,2026-09-22T12:34:09+00:00
You have won a prize.,Joshua,EDIT,,,2026-09-22T12:36:55+00:00
Your account will be blocked.,Joshua,EDIT,Ou kont pou bloke,,2026-09-22T12:33:49+00:00
Your card has been suspended.,Joshua,EDIT,Ou kart inn finn sispann.,,2026-09-22T12:34:00+00:00
Your mobile money account is locked.,Joshua,EDIT,Ou kont mobile money finn bloke.,,2026-09-22T12:37:28+00:00
