id,english,current_kreol_in_product,proposed_kreol,status,reviewed_by,review_decision,notes
dont_open_link,Do not open the link in this message.,,Pa ouver lien ki dan sa mesaz la.,draft_generated,,,"AI-drafted safety instruction; meaning must be checked, negation (Pa ...) must be kept."
open_official_directly,"Open the organisation's website yourself, or use its official app - never through this link.",,"Ouver sit web lorganizasyon la ou-mem, ouswa servi so aplikasion ofisyel. Pa pas par sa lien la.",draft_generated,,,"AI-drafted safety instruction; meaning must be checked, negation (Pa ...) must be kept."
dont_share_code,"Do not share any code, PIN, password or card details.",,"Pa partaz okenn kod, PIN, modpas ouswa detay ou kart.",draft_generated,,,"AI-drafted safety instruction; meaning must be checked, negation (Pa ...) must be kept."
contact_verified_channel,"Contact the institution using a number you already trust, such as the one on the back of your card.",,"Kontakte lenstitisyon la lor enn nimero ou deza kone, parey sa ki lor dervie ou kart.",draft_generated,,,"AI-drafted safety instruction; meaning must be checked, negation (Pa ...) must be kept."
dont_install,Do not install any app or give anyone remote access to your phone or computer.,,Pa instal okenn aplikasion e pa les personn pran kontrol ou telefonn ouswa ou komputer.,draft_generated,,,"AI-drafted safety instruction; meaning must be checked, negation (Pa ...) must be kept."
dont_move_funds,Do not move money to any 'safe account'. Real banks never ask you to do this.,,Pa transfer ou larzan lor okenn 'kont sekirite'. Vre bann bank pa zamai demann sa.,draft_generated,,,"AI-drafted safety instruction; meaning must be checked, negation (Pa ...) must be kept."
verify_bank_change,Do not use the contact details in this message. Confirm any change of bank details with the supplier using details your organisation already holds.,,Pa servi bann detay ki dan sa mesaz la. Konfirm nenport sanzman detay labank ar fournisser la avek bann detay ki ou lorganizasyon deza ena.,draft_generated,,,"AI-drafted safety instruction; meaning must be checked, negation (Pa ...) must be kept."
stop_and_verify_recipient,Pause the conversation and check independently who will actually receive the money.,,Arete la konversasyon e verifye par ou-mem kisannla ki pou vremem resevwar larzan la.,draft_generated,,,"AI-drafted safety instruction; meaning must be checked, negation (Pa ...) must be kept."
dont_send_money,Do not send money yet. Verify the request independently first.,,Pa avoy larzan pou lintan. Verifye demann la dabor par enn lot fason.,draft_generated,,,"AI-drafted safety instruction; meaning must be checked, negation (Pa ...) must be kept."
call_person_known_number,Call the person on the number you already had for them - not the number in this message.,,"Telefonn dimounn la lor nimero ou ti deza ena pou li, pa lor sa nimero ki dan sa mesaz la.",draft_generated,,,"AI-drafted safety instruction; meaning must be checked, negation (Pa ...) must be kept."
talk_to_someone,Talk to someone you trust before acting. Scammers ask for secrecy so no one can warn you.,,Koz ar enn dimounn ou fer konfyans avan ou azir. Bann eskrok demann ou pa dir personn pou personn pa averti ou.,draft_generated,,,"AI-drafted safety instruction; meaning must be checked, negation (Pa ...) must be kept."
dont_pay_fee,"Do not pay a fee to receive a prize, refund, parcel or job.",,"Pa peye okenn fre pou resevwar enn prix, enn ranbourseman, enn parcel ouswa enn travay.",draft_generated,,,"AI-drafted safety instruction; meaning must be checked, negation (Pa ...) must be kept."
hostile_instructions,This message contains hidden instructions aimed at scam checkers - treat it as hostile.,,Sa mesaz la ena lenstriksyon kasyet ki vize bann sistem verifikasion. Trete li kouma enn mesaz dangere.,draft_generated,,,"AI-drafted safety instruction; meaning must be checked, negation (Pa ...) must be kept."
block_and_report,Block the sender and report the message to your bank or the organisation it claims to be from.,,Bloke sa dimounn la e raporte sa mesaz la ar ou labank ouswa lorganizasyon ki li pretann reprezante.,draft_generated,,,"AI-drafted safety instruction; meaning must be checked, negation (Pa ...) must be kept."
verify_first,Verify the request through an official channel before you act on it.,,Verifye demann la atraver enn channel ofisyel avan ou azir.,draft_generated,,,"AI-drafted safety instruction; meaning must be checked, negation (Pa ...) must be kept."
supplier_dont_use_details,Do not use the bank details contained in this email.,,,not_drafted,,,Workplace email flow.
supplier_contact_known,Contact the supplier using contact information already stored by your organisation.,,,not_drafted,,,Workplace email flow.
supplier_verify_verbally,Verify the account change verbally before making payment.,,,not_drafted,,,Workplace email flow.
exec_hold_transfer,Do not make the transfer yet.,,,not_drafted,,,Workplace email flow.
exec_normal_approval,Confirm the request using your organisation's normal approval process.,,,not_drafted,,,Workplace email flow.
exec_no_email_contacts,Do not use contact details contained only in this email.,,,not_drafted,,,Workplace email flow.
phish_no_password,Do not open the link or enter your password.,,,not_drafted,,,Workplace email flow.
phish_open_independently,Open the organisation's service independently.,,,not_drafted,,,Workplace email flow.
dont_open_attachment,Do not open this attachment. Ask your IT or security team to check it first.,,,not_drafted,,,Workplace email flow.
dont_reply_to_address,Do not reply to this email directly - replies would go to a different address than the sender's.,,,not_drafted,,,Workplace email flow.
no_warning_signs,No warning signs were found. Only act on requests you were expecting.,,Nou pa finn trouve okenn siny danze. Azir zis lor bann demann ki ou ti pe atann.,draft_generated,,,"AI-drafted safety instruction; meaning must be checked, negation (Pa ...) must be kept."
