id,direction,source,generated_output,meaning_correct,natural,terminology_correct,preferred_alternative,reviewer,notes
G01,en-mfe,Do not share your OTP with anyone.,,,,,,,
G02,en-mfe,Your account may be suspended if you do not verify it.,,,,,,,
G03,en-mfe,This message is asking you to send money urgently.,,,,,,,
G04,en-mfe,Contact your bank using the number on the back of your card.,,,,,,,
G05,en-mfe,Do not click the link in this message.,,,,,,,
G06,en-mfe,The sender is pretending to be your bank.,,,,,,,
G07,en-mfe,We found signs commonly associated with phishing.,,,,,,,
G08,en-mfe,This message appears less concerning because it does not ask for credentials or money.,,,,,,,
G09,en-mfe,"Do not pay Rs 12,500 to https://example.test/pay before you verify the request.",,,,,,,
G10,en-mfe,Your OTP is 482911. Never share it.,,,,,,,
G11,en-mfe,"Call 52581234 only if you did not make this transfer of Rs 2,000.",,,,,,,
G12,en-mfe,Risk level: high. Do not send money or share codes.,,,,,,,
G13,en-mfe,A fee is being asked before you can receive the prize. Real prizes never need a payment.,,,,,,,
G14,en-mfe,Report this message to your bank and block the sender.,,,,,,,
G15,fr-mfe,Ne partagez jamais votre code de vérification avec personne.,,,,,,,
G16,fr-mfe,Votre compte sera bloqué si vous ne confirmez pas vos informations.,,,,,,,
G17,fr-mfe,Ce message se fait passer pour votre banque.,,,,,,,
G18,fr-mfe,Ne cliquez pas sur le lien dans ce message.,,,,,,,
G19,fr-mfe,Contactez votre banque au numéro indiqué au dos de votre carte.,,,,,,,
G20,fr-mfe,Ne payez pas Rs 3 500 avant d'avoir vérifié la demande.,,,,,,,
G21,mfe-en,Pa partaz ou kod OTP avek personn.,,,,,,,
G22,mfe-en,"Si ou pa konfirm ou kont, li pou bloke.",,,,,,,
G23,mfe-en,"Avoy mwa Rs 4,000 lor sa nimero 52581234 aster mem.",,,,,,,
G24,mfe-en,Ou finn gagn enn prix. Pey Rs 500 frais douane pou resevwar li.,,,,,,,
G25,mfe-en,Labank pa zamai demann ou modpas par SMS.,,,,,,,
G26,mfe-en,Mo finn avoy larzan par erer. Reavoy li lor sa nimero 52581234.,,,,,,,
