id,english,current_kreol_in_product,proposed_kreol,status,reviewed_by,review_decision,notes
URL-01,Lookalike of an official domain,,Lien ki resanble enn sit ofisyel,draft_generated,,,"AI-drafted; needs native review. Uses product conventions: lien, siny, eskrokri."
URL-02,Brand name inside an unofficial domain,,Nom enn mark dan enn domain ki pa ofisyel,draft_generated,,,"AI-drafted; needs native review. Uses product conventions: lien, siny, eskrokri."
URL-03,Brand name in the subdomain or path of an unrelated site,,Nom enn mark dan sou-domain ouswa shemin enn sit ki pa relye,draft_generated,,,"AI-drafted; needs native review. Uses product conventions: lien, siny, eskrokri."
URL-04,Look-alike characters (punycode/homoglyph) in a link,,Karakter ki resanble (punycode/omoglif) dan enn lien,draft_generated,,,"AI-drafted; needs native review. Uses product conventions: lien, siny, eskrokri."
URL-05,Shortened link hides the real destination,,Lien kourt ki kasyet vre destinasyon,draft_generated,,,"AI-drafted; needs native review. Uses product conventions: lien, siny, eskrokri."
URL-06,Link points to a raw IP address,,Lien ki ale direk lor enn adres IP,draft_generated,,,"AI-drafted; needs native review. Uses product conventions: lien, siny, eskrokri."
URL-07,Link disguises its real host with an @ sign,,Lien ki kasyet so vre sit avek enn siny @,draft_generated,,,"AI-drafted; needs native review. Uses product conventions: lien, siny, eskrokri."
URL-08,"Asks you to verify, log in or pay through an unofficial link",,"Demann pou verifye, konekte ouswa peye atraver enn lien ki pa ofisyel",draft_generated,,,"AI-drafted; needs native review. Uses product conventions: lien, siny, eskrokri."
URL-09,Website domain was registered very recently,,Sit la finn enregistre tre resaman,draft_generated,,,"AI-drafted; needs native review. Uses product conventions: lien, siny, eskrokri."
ID-01,Claims to be an institution but links to a different domain,,Pretann sorti enn lenstitisyon me lien la ale lor enn lot domain,draft_generated,,,"AI-drafted; needs native review. Uses product conventions: lien, siny, eskrokri."
ID-02,Claims to be an institution but payment goes to someone else,,Pretann sorti enn lenstitisyon me larzan al ver enn lot dimounn,draft_generated,,,"AI-drafted; needs native review. Uses product conventions: lien, siny, eskrokri."
ID-03,Sender identity does not fit the claimed institution,,Idantite lexpediter pa koresponn ar lenstitisyon ki li pretann,draft_generated,,,"AI-drafted; needs native review. Uses product conventions: lien, siny, eskrokri."
ID-04,Language impersonates an authority,,Langaz ki fer koumadir li enn lotorite,draft_generated,,,"AI-drafted; needs native review. Uses product conventions: lien, siny, eskrokri."
ID-05,Unrendered mail-merge/template placeholder syntax,,Bann marker modele ki pa finn ranplase,draft_generated,,,"AI-drafted; needs native review. Uses product conventions: lien, siny, eskrokri."
SOC-01,Artificial urgency,,Presyon ar tan (irzans),draft_generated,,,"AI-drafted; needs native review. Uses product conventions: lien, siny, eskrokri."
SOC-02,"Threat of suspension, penalty or legal action",,"Menas: sispansyon, penalite ouswa aksyon legal",draft_generated,,,"AI-drafted; needs native review. Uses product conventions: lien, siny, eskrokri."
SOC-03,Asks you to keep it secret,,Demann ou gard sa sekre,draft_generated,,,"AI-drafted; needs native review. Uses product conventions: lien, siny, eskrokri."
SOC-04,Pushes you to another channel or number,,Pous ou al lor enn lot channel ouswa nimero,draft_generated,,,"AI-drafted; needs native review. Uses product conventions: lien, siny, eskrokri."
SOC-05,"Unexpected prize, refund or money",,"Prix, ranbourseman ouswa larzan ki ou pa ti atann",draft_generated,,,"AI-drafted; needs native review. Uses product conventions: lien, siny, eskrokri."
SOC-06,Relationship or investment manipulation,,Manipilasyon ar relasyon ouswa envestisman,draft_generated,,,"AI-drafted; needs native review. Uses product conventions: lien, siny, eskrokri."
SOC-07,Contains instructions aimed at automated checkers,,Lenstriksyon ki vize bann sistem verifikasion otomatik,draft_generated,,,"AI-drafted; needs native review. Uses product conventions: lien, siny, eskrokri."
SOC-08,Asks you to bypass normal approval or verification,,Demann ou kontourn bann verifikasyon normal,draft_generated,,,"AI-drafted; needs native review. Uses product conventions: lien, siny, eskrokri."
SOC-09,Offers a free/cracked copy of normally paid or restricted software,,Ofer enn kopi gratis (ouswa piraté) enn lojisyel ki normalman peye,draft_generated,,,"AI-drafted; needs native review. Uses product conventions: lien, siny, eskrokri."
PAY-01,Asks you to send money,,Demann ou avoy larzan,draft_generated,,,"AI-drafted; needs native review. Uses product conventions: lien, siny, eskrokri."
PAY-02,"Unusual payment method (gift card, crypto, courier)",,"Metod peyman ki pa normal (gift card, crypto, kourier)",draft_generated,,,"AI-drafted; needs native review. Uses product conventions: lien, siny, eskrokri."
PAY-03,Asks you to move money to a 'safe account',,Demann ou met ou larzan lor enn 'kont sekirite',draft_generated,,,"AI-drafted; needs native review. Uses product conventions: lien, siny, eskrokri."
PAY-04,Fee demanded before you can receive something,,Fre ki demande avan ou kapav resevwar kitsoz,draft_generated,,,"AI-drafted; needs native review. Uses product conventions: lien, siny, eskrokri."
PAY-05,Recipient does not match who is asking,,Dimounn ki pou resevwar larzan pa koresponn ar sa ki pe demann,draft_generated,,,"AI-drafted; needs native review. Uses product conventions: lien, siny, eskrokri."
PAY-06,Someone is directing you while you pay,,Enn dimounn pe dirize ou pandan ou pe peye,draft_generated,,,"AI-drafted; needs native review. Uses product conventions: lien, siny, eskrokri."
PAY-07,Payment details changed,,Detay peyman finn sanze,draft_generated,,,"AI-drafted; needs native review. Uses product conventions: lien, siny, eskrokri."
SEC-01,"Asks you to share an OTP, PIN, password or CVV",,"Demann ou partaz enn OTP, PIN, modpas ouswa CVV",draft_generated,,,"AI-drafted; needs native review. Uses product conventions: lien, siny, eskrokri."
SEC-02,Asks you to install remote-access software,,Demann ou instal enn lojisyel akse a distans,draft_generated,,,"AI-drafted; needs native review. Uses product conventions: lien, siny, eskrokri."
SEC-03,Asks you to log in and enter your password via a link,,Demann ou konekte e mete ou modpas atraver enn lien,draft_generated,,,"AI-drafted; needs native review. Uses product conventions: lien, siny, eskrokri."
REP-01,Matches a pattern several people reported,,Resanble enn model ki plizir dimounn finn raporte,draft_generated,,,"AI-drafted; needs native review. Uses product conventions: lien, siny, eskrokri."
REP-02,Matches a pattern being reported right now,,Resanble enn model ki pe raporte aster la,draft_generated,,,"AI-drafted; needs native review. Uses product conventions: lien, siny, eskrokri."
REP-03,Sender reported by other users,,Lexpediter finn raporte par lezot itilizater,draft_generated,,,"AI-drafted; needs native review. Uses product conventions: lien, siny, eskrokri."
REP-04,Matches a confirmed scam template,,Resanble enn model eskrokri konfirme,draft_generated,,,"AI-drafted; needs native review. Uses product conventions: lien, siny, eskrokri."
REP-05,Link is on a known-malicious list,,Lien la dan enn lis sit dangere ki konnu,draft_generated,,,"AI-drafted; needs native review. Uses product conventions: lien, siny, eskrokri."
EMAIL-01,Replies would go to a different domain than the sender's,,,not_drafted,,,"Workplace email/organisation flow, not part of the consumer Kreol scope yet."
