id,original_message,language_mix,english_meaning,scam_type,risk_signals,entities,status,reviewed_by,provenance,notes
FL-KM-0001,Ou kont OceanBank pou bloke zordi si ou pa fer verification. Klik lor oceanbank-verify-secure.test deswit.,mfe,Your OceanBank account will be blocked today if you do not verify. Click oceanbank-verify-secure.test immediately.,bank_impersonation,URGENCY|THREAT|SUSPICIOUS_URL|IMPERSONATION,"{""organisation"": ""OceanBank"", ""url"": ""oceanbank-verify-secure.test"", ""deadline"": ""today""}",owner_reviewed,Joshua,synthetic_claude,Tests Kreol urgency + suspicious URL preservation.
FL-KM-0002,"Ser client, lekip sekirite IslandTrust Bank pe demann ou konfirm OTP (583291) lor sa nimero-la pou anil enn transaksion sispe.",mfe+en,"Dear customer, the IslandTrust Bank security team is asking you to confirm OTP (583291) on this number to cancel a suspicious transaction.",otp_theft,OTP_REQUEST|IMPERSONATION|AUTHORITY_PRESSURE,"{""organisation"": ""IslandTrust Bank"", ""otp"": ""583291""}",owner_reviewed,Joshua,synthetic_claude,Tests OTP digit preservation with English banking phrasing.
FL-KM-0003,ALERT SunCoast Bank: To kart inn sispann pou rezon sekirite. Apel sa nimero-la dans 24 er temps: +230 5xxx xxxx.,mfe,ALERT SunCoast Bank: Your card has been suspended for security reasons. Call this number immediately within 24 hours: +230 5xxx xxxx.,bank_impersonation,URGENCY|THREAT|IMPERSONATION|SENSITIVE_INFO_REQUEST,"{""organisation"": ""SunCoast Bank"", ""phone"": ""+230 5xxx xxxx"", ""deadline"": ""24 hours""}",owner_reviewed,Joshua,synthetic_claude,Tests preservation of masked phone number and deadline.
FL-KM-0004,Ou compte Meridian Bank inn sispann temporairement. Verifye ou compte lor meridianbank-secure-login.test avan minwi.,mfe+fr,Your Meridian Bank account has been temporarily suspended. Verify your account on meridianbank-secure-login.test before midnight.,account_verification,URGENCY|SUSPICIOUS_URL|SENSITIVE_INFO_REQUEST|IMPERSONATION,"{""organisation"": ""Meridian Bank"", ""url"": ""meridianbank-secure-login.test"", ""deadline"": ""midnight""}",owner_reviewed,Joshua,synthetic_claude,Kreol-English code-switch control test.
FL-KM-0005,"Ser client, ou compte OceanBank inn bloke pou bann raison de securite. Konfirm ou code PIN deswit lor sa lyen-la.",mfe+fr,"Dear customer, your OceanBank account has been blocked for security reasons. Please confirm your PIN code immediately on this link.",bank_impersonation,URGENCY|SENSITIVE_INFO_REQUEST|IMPERSONATION,"{""organisation"": ""OceanBank""}",owner_reviewed,Joshua,synthetic_claude,Tests French administrative register mixed with Kreol grammar.
FL-KM-0006,"Bonzour, ou'nn gagn enn remboursement MRA Rs 8,400. Klik lien la pou resevwar li avan 24h.",mfe,"Hello, you have received an MRA refund of Rs 8,400. Click the link to receive it within 24 hours.",refund_scam,URGENCY|UNEXPECTED_PAYMENT|SUSPICIOUS_URL|IMPERSONATION|REFUND_LURE,"{""organisation"": ""MRA"", ""amount"": ""Rs 8,400"", ""deadline"": ""24h""}",owner_reviewed,Joshua,synthetic_claude,"Synthetic MRA impersonation, not a real MRA message; matches the worked example in local CLAUDE.md."
FL-KM-0007,"Lannons MRA: Ou ena enn peyman tax outstanding de Rs 12,500. Si ou pa ressi fer li avan 48h ou kav gegn bann penalite ek prosekision legal.",mfe+en,"MRA Notice: You have an outstanding tax payment of Rs 12,500. Failure to pay within 48h will result in penalties and legal prosecution.",government_impersonation,URGENCY|THREAT|AUTHORITY_PRESSURE|PAYMENT_REQUEST|IMPERSONATION,"{""organisation"": ""MRA"", ""amount"": ""Rs 12,500"", ""deadline"": ""48h""}",owner_reviewed,Joshua,synthetic_claude,Synthetic MRA impersonation; tests threat + authority-pressure preservation across code-switch.
FL-KM-0008,Ministre Finans/MRA: Ou dosye ranboursman bloke. Konfirm ou numero kont labank touswit lor sa form-la pou nou rezoud sa.,mfe,Ministry of Finance/MRA: Your refund file is blocked. Confirm your bank account number immediately on this form so we can resolve it.,government_impersonation,URGENCY|SENSITIVE_INFO_REQUEST|IMPERSONATION|AUTHORITY_PRESSURE,"{""organisation"": ""MRA""}",owner_reviewed,Joshua,synthetic_claude,Synthetic impersonation; tests account-number request phrasing.
FL-KM-0009,"Salut, mo finn avoy larzan par erer lor to kont la banque. Silvouple reavoyy Rs 3,000 lor sa numero-la deswit.",mfe,"Hi, I sent money by mistake to your mobile money account. Please return Rs 3,000 to this number immediately.",payment_request,URGENCY|UNEXPECTED_PAYMENT|PAYMENT_REQUEST,"{""amount"": ""Rs 3,000""}",owner_reviewed,Joshua,synthetic_claude,Classic overpayment/reversal mobile-money scam; tests amount preservation.
FL-KM-0010,Nou ban detail la banque inn sanze pou sa payment-la. Nouvo compte beneficiaire: fer le necessaire avan ou fer transfer.,mfe+en,Please note our bank details have changed for this payment. New beneficiary account: kindly update before you make the transfer.,merchant_payment_change,CHANGED_PAYMENT_DETAILS|BENEFICIARY_MISMATCH|PAYMENT_REQUEST,{},owner_reviewed,Joshua,synthetic_claude,Business-email-compromise style beneficiary swap; tests changed-details phrasing.
FL-KM-0011,Support PayIsle: Ou pou gagn enn erer lor ou transaksion. Avoy Rs 500 kouma enn frais verification pou nou debloke ou kont.,mfe,PayIsle Support: You have an error on your transaction. Send Rs 500 as a verification fee so we can unblock your account.,payment_request,PAYMENT_REQUEST|IMPERSONATION|SENSITIVE_INFO_REQUEST,"{""organisation"": ""PayIsle"", ""amount"": ""Rs 500""}",owner_reviewed,Joshua,synthetic_claude,"PayIsle is a fictional mobile-payment provider, not a real Mauritian app; tests fee-lure phrasing."
FL-KM-0012,"Ma, mo finn sanz numero. Mo dan enn problem, mo bizin Rs 2,000 deswit. Pa dir personn, avoy lor sa numero-la.",mfe,"Mum, I've changed number. I'm in trouble, I need Rs 2,000 immediately. Don't tell anyone, send it to this number.",family_impersonation,URGENCY|SECRECY|NEW_PHONE_NUMBER|PAYMENT_REQUEST|IMPERSONATION,"{""amount"": ""Rs 2,000""}",owner_reviewed,Joshua,synthetic_claude,Tests secrecy + new-number code-switch pattern (WhatsApp-style family scam).
FL-KM-0013,"Bonojour mo mem ca, monn perdi mo portab et samem mo nouvo nimero. Pas kav fer bann appel la, urgent mo bizin pay enn bill, ou kapav avoy Rs 4,500 pou mwa?",mfe+en,"Hi it's me, I lost my old phone so this is my new number. Can't call right now, urgently need to pay a bill, can you send Rs 4,500 for me?",family_impersonation,NEW_PHONE_NUMBER|URGENCY|PAYMENT_REQUEST|IMPERSONATION,"{""amount"": ""Rs 4,500""}",owner_reviewed,Joshua,synthetic_claude,Tests inability-to-call excuse + English framing common in WhatsApp scams.
FL-KM-0014,"Momem sa, monn gegn een problem urgent, mo pa kapav explik par telefone. Envoye Rs 3,500 silvouple, li tres urgent, pa dir papa.",mfe+fr,"It's me, I have an urgent problem, I can't explain over the phone. Send Rs 3,500 please, it's very urgent, don't tell dad.",family_impersonation,URGENCY|SECRECY|PAYMENT_REQUEST|IMPERSONATION,"{""amount"": ""Rs 3,500""}",owner_reviewed,Joshua,synthetic_claude,Tests French emotional register mixed with Kreol secrecy cue.
FL-KM-0015,Colis pou ou finn ariv kot la douane. Peye Rs 650 kouma fre douane lor sa lyen-la avan li retourn expediteur.,mfe,Your parcel has arrived at customs. Pay Rs 650 as a customs fee on this link before it is returned to sender.,parcel_customs,URGENCY|PAYMENT_REQUEST|PARCEL_FEE|SUSPICIOUS_URL,"{""amount"": ""Rs 650""}",owner_reviewed,Joshua,synthetic_claude,Tests parcel-fee lure phrasing and small-amount urgency.
FL-KM-0016,Ou parcel pa finn delivre. Update ou delivery address ek peye Rs 250 pou bann fre livraison lor track-parcel-mu.test.,mfe+en,Your parcel could not be delivered. Update your delivery address and pay a Rs 250 redelivery fee on track-parcel-mu.test.,parcel_customs,PAYMENT_REQUEST|SUSPICIOUS_URL|PARCEL_FEE,"{""amount"": ""Rs 250"", ""url"": ""track-parcel-mu.test""}",owner_reviewed,Joshua,synthetic_claude,Tests fictional .test courier-phishing domain preservation.
FL-KM-0017,"Investi Rs 5,000 zordi, gagn Rs 15,000 dan 7 zour, garanti san risk. Kontakte mwa lor WhatsApp pou koumanse.",mfe,"Invest Rs 5,000 today, get Rs 15,000 in 7 days, guaranteed with no risk. Contact me on WhatsApp to start.",investment,GUARANTEED_RETURN|PAYMENT_REQUEST|UNVERIFIED_IDENTITY,"{""amount"": ""Rs 5,000""}",owner_reviewed,Joshua,synthetic_claude,Tests guaranteed-return lure phrasing in mostly-Kreol text.
FL-KM-0018,"Zwen nou group exclusif trading, 30% retour garanti sak semenn. Minimum deposit Rs 10,000 lor crypto wallet.",mfe+en,"Join our exclusive trading group, guaranteed 30% return every week. Minimum deposit Rs 10,000 via crypto wallet.",investment,GUARANTEED_RETURN|CRYPTO_REQUEST|PAYMENT_REQUEST,"{""amount"": ""Rs 10,000""}",owner_reviewed,Joshua,synthetic_claude,Tests crypto-request signal and English marketing register.
FL-KM-0019,"Travay fasil work from home, gegn Rs 8,000 par semenn. Zis avoy Rs 500 pou fre inscription pou konfirm ou plas.",mfe,"Easy work from home, earn Rs 8,000 per week. Just send Rs 500 for a registration fee to confirm your place.",job_scam,PAYMENT_REQUEST|GUARANTEED_RETURN|UNVERIFIED_IDENTITY,"{""amount"": ""Rs 500""}",owner_reviewed,Joshua,synthetic_claude,Tests upfront-fee job-scam phrasing.
FL-KM-0020,"Nou pe rekrit bann dimoun pou online data entry, zero experience neceser, Rs 400 par zour. Pey Rs 800 registration fee pou gagn ou starter kit.",mfe+en,"We are hiring for online data entry, no experience needed, Rs 400 per day. Pay Rs 800 registration fee to get your starter kit.",job_scam,PAYMENT_REQUEST|GUARANTEED_RETURN,"{""amount"": ""Rs 800""}",owner_reviewed,Joshua,synthetic_claude,Tests English job-ad register with Kreol per-day rate phrasing.
FL-KM-0021,"Felicitations! Ou'nn gagne enn loterie WhatsApp International, avecv enn prix de Rs 50,000. Avoye ou bann details bancaires pou reklam li avan 24h, li urgent!",mfe+en+fr,"Congratulations! You have won the WhatsApp International lottery, prize Rs 50,000. Send your bank details to claim it within 24h, it's urgent!",prize_lottery,URGENCY|PRIZE_LURE|SENSITIVE_INFO_REQUEST|UNVERIFIED_IDENTITY,"{""amount"": ""Rs 50,000"", ""deadline"": ""24h""}",owner_reviewed,Joshua,synthetic_claude,Tests trilingual code-switch (mfe+en+fr) preserving urgency and prize amount.
FL-KM-0022,Ou statement mansyel disponib lor ou paz. Pena aksion pou fer si tou paret korek.,mfe,Your monthly account statement is available in your client space. No action needed if everything looks correct.,legitimate,,{},owner_reviewed,Joshua,synthetic_claude,"Low-risk control: routine statement notice, no scam signals; tests false-positive resistance."
FL-KM-0023,"Ou mot de pass inn zanze le 12 Sep. Si li pas ti ou, contact lekip support lor app, pas lor messaz",mfe+fr,"Your password was successfully changed on 12 Sep. If this wasn't you, contact support through the app, not this message.",legitimate,,{},owner_reviewed,Joshua,synthetic_claude,English-only control: legitimate security notification without urgency or link request.
FL-KM-0024,Rappel: ou ena enn rendez-vous ar ou konseye labank lindi prosen 10h. Kontakte labank si ou pa disponib.,mfe+fr,Reminder: you have an appointment with your bank advisor next Monday at 10am. Contact the bank if you're not available.,legitimate,,{},owner_reviewed,Joshua,synthetic_claude,"French/Kreol control: routine appointment reminder, no payment/urgency/link request."
